match_id,ist_fall,status,espn_hz,fd_hz,eigentor_h1
B1-0708-2007-09-22-gent-roeselare,1,Halbzeit stimmt,1:1,1:1,0
B1-0708-2007-09-24-standard-westerlo,0,Halbzeit stimmt,1:1,1:1,0
B1-0708-2007-09-29-anderlecht-charleroi,0,Halbzeit stimmt,0:1,0:1,0
B1-0708-2007-09-29-club-brugge-mouscron,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-10-06-cercle-brugge-st-truiden,1,Halbzeit stimmt,2:1,2:1,0
B1-0708-2007-10-06-genk-mechelen,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2007-10-06-gent-westerlo,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2007-10-07-standard-germinal,1,Halbzeit stimmt,3:1,3:1,0
B1-0708-2007-10-20-club-brugge-dender,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-10-21-anderlecht-gent,0,Halbzeit stimmt,2:0,2:0,0
B1-0708-2007-10-26-gent-bergen,0,Halbzeit stimmt,2:0,2:0,0
B1-0708-2007-10-27-standard-mechelen,1,Halbzeit stimmt,1:1,1:1,0
B1-0708-2007-11-03-anderlecht-westerlo,0,Halbzeit stimmt,1:1,1:1,0
B1-0708-2007-11-03-charleroi-dender,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-11-03-club-brugge-waregem,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2007-11-10-genk-charleroi,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2007-11-10-standard-lokeren,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2007-11-10-westerlo-st-truiden,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-11-11-gent-mechelen,1,Halbzeit stimmt,3:1,3:1,0
B1-0708-2007-12-01-mouscron-brussels,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-12-02-club-brugge-gent,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-12-07-standard-charleroi,0,Halbzeit stimmt,3:0,3:0,0
B1-0708-2007-12-08-gent-lokeren,0,Halbzeit stimmt,1:0,1:0,0
