datum,liga,liga_code,saison,team,gegner,vorquote_fair,torniveau_liga_saison,minute_gegentor,modell_p_sieg,modell_faire_quote,lohnt_ab_quote,live_quote_notiert,einsatz,notiert_am,bemerkung,endstand,ergebnis,treffer
2006-01-22,Serie A,I1,0506,livorno,treviso,1.6861,2.608,7,0.3989,2.51,2.64,,,,,1:1,unentschieden,0
2006-01-29,Eredivisie,N1,0506,ajax,utrecht,1.6786,2.98,2,0.4238,2.36,2.48,,,,,1:4,niederlage,0
2006-02-01,Premier League,E0,0506,Arsenal,West Ham,1.51,2.484,25,0.4078,2.45,2.58,,,,,2:3,niederlage,0
2006-02-03,Eredivisie,N1,0506,willem ii,roosendaal,1.6894,2.98,2,0.4191,2.39,2.51,,,,,3:1,sieg,1
2006-02-04,Bundesliga,D1,0506,hamburg,bielefeld,1.4722,2.814,26,0.4261,2.35,2.47,,,,,2:1,sieg,1
2006-02-04,Bundesliga,D1,0506,werder bremen,mainz,1.4044,2.814,1,0.5834,1.71,1.8,,,,,4:2,sieg,1
2006-02-04,Ligue 1,F1,0506,paris sg,st etienne,1.7419,2.134,16,0.3395,2.95,3.1,,,,,2:2,unentschieden,0
2006-02-04,Eredivisie,N1,0506,psv eindhoven,roda jc,1.3889,2.98,2,0.5906,1.69,1.78,,,,,3:2,sieg,1
2006-02-05,La Liga,SP1,0506,barcelona,ath madrid,1.51,2.463,33,0.3737,2.68,2.82,,,,,1:3,niederlage,0
2006-02-05,La Liga,SP1,0506,villarreal,cadiz,1.6604,2.463,1,0.4362,2.29,2.41,,,,,1:1,unentschieden,0
2006-02-08,Serie A,I1,0506,roma,cagliari,1.51,2.608,15,0.4516,2.21,2.33,,,,,4:3,sieg,1
2006-02-11,Premier League,E0,0506,Arsenal,bolton,1.625,2.484,12,0.4045,2.47,2.6,,,,,1:1,unentschieden,0
2006-02-18,Scottish Premiership,SC0,0506,kilmarnock,livingston,1.5213,2.811,14,0.4495,2.22,2.34,,,,,3:1,sieg,1
2006-02-19,Premier League,E0,0506,Tottenham,wigan,1.7931,2.484,10,0.3455,2.89,3.05,,,,,2:2,unentschieden,0
2006-02-19,Serie A,I1,0506,fiorentina,lazio,1.7954,2.608,34,0.255,3.92,4.13,,,,,1:2,niederlage,0
2006-02-19,Eredivisie,N1,0506,az alkmaar,utrecht,1.6667,2.98,3,0.4246,2.35,2.48,,,,,2:3,niederlage,0
2006-02-25,Ligue 1,F1,0506,bordeaux,metz,1.5213,2.134,15,0.445,2.25,2.37,,,,,3:3,unentschieden,0
2006-02-25,Ligue 1,F1,0506,lyon,rennes,1.5213,2.134,20,0.4231,2.36,2.49,,,,,1:4,niederlage,0
2006-02-26,Serie A,I1,0506,juventus,lecce,1.2558,2.608,10,0.6748,1.48,1.56,,,,,3:1,sieg,1
2006-03-04,Bundesliga,D1,0506,bayern munich,hamburg,1.6576,2.814,16,0.3729,2.68,2.82,,,,,1:2,niederlage,0
2006-03-04,La Liga,SP1,0506,villarreal,alaves,1.6978,2.463,11,0.3771,2.65,2.79,,,,,3:2,sieg,1
2006-03-11,Scottish Premiership,SC0,0506,dundee united,livingston,1.7501,2.811,17,0.3325,3.01,3.17,,,,,3:1,sieg,1
