match_id,league,league_name,season,season_name,date,time,home_team,away_team,home_team_raw,away_team_raw,fthg,ftag,ftr,hthg,htag,hr,ar,b365h,b365d,b365a
I1-2122-2021-11-28-udinese-genoa,I1,Serie A,2122,2021/22,2021-11-28,11:30,udinese,genoa,Udinese,Genoa,0,0,D,0,0,0,0,1.75,3.6,4.75
I1-2122-2021-11-28-milan-sassuolo,I1,Serie A,2122,2021/22,2021-11-28,14:00,milan,sassuolo,Milan,Sassuolo,1,3,A,1,2,1,0,1.53,4.5,5.5
I1-2122-2021-11-28-spezia-bologna,I1,Serie A,2122,2021/22,2021-11-28,14:00,spezia,bologna,Spezia,Bologna,0,1,A,0,0,0,0,3,3.5,2.3
I1-2122-2021-11-28-roma-torino,I1,Serie A,2122,2021/22,2021-11-28,17:00,roma,torino,Roma,Torino,1,0,H,1,0,0,0,1.72,4,4.5
I1-2122-2021-11-28-napoli-lazio,I1,Serie A,2122,2021/22,2021-11-28,19:45,napoli,lazio,Napoli,Lazio,4,0,H,3,0,0,0,1.8,3.8,4.33
I1-2122-2021-11-30-atalanta-venezia,I1,Serie A,2122,2021/22,2021-11-30,17:30,atalanta,venezia,Atalanta,Venezia,4,0,H,2,0,0,0,1.22,6,12
I1-2122-2021-11-30-fiorentina-sampdoria,I1,Serie A,2122,2021/22,2021-11-30,17:30,fiorentina,sampdoria,Fiorentina,Sampdoria,3,1,H,3,1,0,0,1.7,3.8,5
I1-2122-2021-11-30-salernitana-juventus,I1,Serie A,2122,2021/22,2021-11-30,19:45,salernitana,juventus,Salernitana,Juventus,0,2,A,0,1,0,0,9.5,5.5,1.3
I1-2122-2021-11-30-verona-cagliari,I1,Serie A,2122,2021/22,2021-11-30,19:45,verona,cagliari,Verona,Cagliari,0,0,D,0,0,0,0,1.61,4,5.25
I1-2122-2021-12-01-bologna-roma,I1,Serie A,2122,2021/22,2021-12-01,17:30,bologna,roma,Bologna,Roma,1,0,H,1,0,0,0,3.1,3.6,2.2
I1-2122-2021-12-01-inter-spezia,I1,Serie A,2122,2021/22,2021-12-01,17:30,inter,spezia,Inter,Spezia,2,0,H,1,0,0,0,1.18,7.5,13
I1-2122-2021-12-01-genoa-milan,I1,Serie A,2122,2021/22,2021-12-01,19:45,genoa,milan,Genoa,Milan,0,3,A,0,2,0,0,5,4,1.66
I1-2122-2021-12-01-sassuolo-napoli,I1,Serie A,2122,2021/22,2021-12-01,19:45,sassuolo,napoli,Sassuolo,Napoli,2,2,D,0,0,0,0,4,3.9,1.8
I1-2122-2021-12-02-torino-empoli,I1,Serie A,2122,2021/22,2021-12-02,17:30,torino,empoli,Torino,Empoli,2,2,D,2,1,1,0,1.72,3.8,4.75
I1-2122-2021-12-02-lazio-udinese,I1,Serie A,2122,2021/22,2021-12-02,19:45,lazio,udinese,Lazio,Udinese,4,4,D,1,3,1,2,1.66,3.8,5.25
I1-2122-2021-12-04-milan-salernitana,I1,Serie A,2122,2021/22,2021-12-04,14:00,milan,salernitana,Milan,Salernitana,2,0,H,2,0,0,0,1.18,7,15
I1-2122-2021-12-04-roma-inter,I1,Serie A,2122,2021/22,2021-12-04,17:00,roma,inter,Roma,Inter,0,3,A,0,3,0,0,3.8,3.8,1.9
