match_id,date,league,league_name,stufe,season,team,gegner,gegner_platz_spieltag,gegner_spiele_spieltag,gegnerstaerke,faire_heimquote,odds_quelle,minute,endstand,ergebnis,treffer
I1-1617-2017-03-19-udinese-palermo,2017-03-19,I1,Serie A,1,1617,udinese,palermo,18,28,schwach,1.6963,B365,12,4:1,sieg,1
F1-1617-2017-03-19-paris-sg-lyon,2017-03-19,F1,Ligue 1,1,1617,paris sg,lyon,4,28,stark,1.5165,B365,6,2:1,sieg,1
SC0-1617-2017-04-01-rangers-motherwell,2017-04-01,SC0,Scottish Premiership,1,1617,rangers,motherwell,10,29,schwach,1.3314,B365,3,1:1,unentschieden,0
E0-1617-2017-04-04-man-united-everton,2017-04-04,E0,Premier League,1,1617,Manchester United,Everton,7,30,schwach,1.6153,B365,22,1:1,unentschieden,0
E0-1617-2017-04-05-liverpool-bournemouth,2017-04-05,E0,Premier League,1,1617,Liverpool,Bournemouth,14,30,schwach,1.4022,B365,7,2:2,unentschieden,0
E1-1617-2017-04-08-wigan-rotherham,2017-04-08,E1,Championship,2,1617,wigan,rotherham,24,40,schwach,1.5719,B365,29,3:2,sieg,1
G1-1617-2017-04-09-panionios-platanias,2017-04-09,G1,Griechenland Super League,1,1617,panionios,platanias,7,27,schwach,1.7001,B365,10,1:1,unentschieden,0
I1-1617-2017-04-15-roma-atalanta,2017-04-15,I1,Serie A,1,1617,roma,atalanta,5,31,stark,1.5964,B365,22,1:1,unentschieden,0
F1-1617-2017-04-15-nice-nancy,2017-04-15,F1,Ligue 1,1,1617,nice,nancy,17,32,schwach,1.7583,B365,26,3:1,sieg,1
N1-1617-2017-04-16-ajax-heerenveen,2017-04-16,N1,Eredivisie,1,1617,ajax,heerenveen,8,30,schwach,1.2769,B365,8,5:1,sieg,1
E1-1617-2017-04-17-reading-rotherham,2017-04-17,E1,Championship,2,1617,reading,rotherham,24,42,schwach,1.4347,B365,19,2:1,sieg,1
F2-1617-2017-04-17-strasbourg-ajaccio,2017-04-17,F2,Ligue 2,2,1617,strasbourg,ajaccio,15,32,schwach,1.7257,B365,15,4:2,sieg,1
D1-1617-2017-04-22-bayern-munich-mainz,2017-04-22,D1,Bundesliga,1,1617,bayern munich,mainz,15,29,schwach,1.238,B365,3,2:2,unentschieden,0
G1-1617-2017-04-23-iraklis-panetolikos,2017-04-23,G1,Griechenland Super League,1,1617,iraklis,panetolikos,10,28,schwach,1.5281,B365,31,2:1,sieg,1
I1-1617-2017-04-29-torino-sampdoria,2017-04-29,I1,Serie A,1,1617,torino,sampdoria,10,33,schwach,1.6943,B365,12,1:1,unentschieden,0
E1-1617-2017-04-29-preston-rotherham,2017-04-29,E1,Championship,2,1617,preston,rotherham,24,44,schwach,1.5453,B365,9,1:1,unentschieden,0
G1-1617-2017-04-30-asteras-tripolis-iraklis,2017-04-30,G1,Griechenland Super League,1,1617,asteras tripolis,iraklis,12,29,schwach,1.6509,B365,26,2:2,unentschieden,0
F2-1617-2017-05-05-reims-orleans,2017-05-05,F2,Ligue 2,2,1617,reims,orleans,18,35,schwach,1.638,B365,14,0:2,niederlage,0
T1-1617-2017-05-06-galatasaray-kasimpasa,2017-05-06,T1,Süper Lig,1,1617,galatasaray,kasimpasa,10,29,schwach,1.5383,B365,25,1:3,niederlage,0
T1-1617-2017-05-06-genclerbirligi-adanaspor,2017-05-06,T1,Süper Lig,1,1617,genclerbirligi,adanaspor,18,29,schwach,1.5964,B365,20,0:1,niederlage,0
T1-1617-2017-05-06-trabzonspor-kayserispor,2017-05-06,T1,Süper Lig,1,1617,trabzonspor,kayserispor,15,29,schwach,1.7265,B365,6,2:3,niederlage,0
F1-1617-2017-05-07-lyon-nantes,2017-05-07,F1,Ligue 1,1,1617,lyon,nantes,8,35,schwach,1.7515,B365,19,3:2,sieg,1
F2-1617-2017-05-12-red-star-sochaux,2017-05-12,F2,Ligue 2,2,1617,red star,sochaux,11,36,schwach,1.7793,B365,32,1:1,unentschieden,0
T1-1617-2017-05-13-buyuksehyr-genclerbirligi,2017-05-13,T1,Süper Lig,1,1617,buyuksehyr,genclerbirligi,8,30,schwach,1.382,B365,26,2:1,sieg,1
I2-1617-2017-05-13-trapani-cesena,2017-05-13,I2,Serie B,2,1617,trapani,cesena,13,40,schwach,1.7216,B365,20,1:2,niederlage,0
N1-1617-2017-05-14-az-alkmaar-utrecht,2017-05-14,N1,Eredivisie,1,1617,az alkmaar,utrecht,4,33,stark,1.4947,B365,32,2:3,niederlage,0
N1-1617-2017-05-14-heerenveen-nijmegen,2017-05-14,N1,Eredivisie,1,1617,heerenveen,nijmegen,17,33,schwach,1.5964,B365,23,0:2,niederlage,0
N1-1617-2017-05-14-psv-eindhoven-zwolle,2017-05-14,N1,Eredivisie,1,1617,psv eindhoven,zwolle,13,33,schwach,1.2593,B365,29,4:1,sieg,1
P1-1617-2017-05-14-porto-pacos-ferreira,2017-05-14,P1,Primeira Liga,1,1617,porto,pacos ferreira,13,32,schwach,1.2185,B365,31,4:1,sieg,1
D2-1617-2017-05-14-munich-1860-bochum,2017-05-14,D2,2. Bundesliga,2,1617,munich 1860,bochum,9,32,schwach,1.7137,B365,31,1:2,niederlage,0
I2-1617-2017-05-18-avellino-latina,2017-05-18,I2,Serie B,2,1617,avellino,latina,22,41,schwach,1.4189,B365,33,2:1,sieg,1
I2-1617-2017-05-18-perugia-salernitana,2017-05-18,I2,Serie B,2,1617,perugia,salernitana,10,41,schwach,1.7031,B365,30,3:2,sieg,1
I2-1617-2017-05-18-spal-bari,2017-05-18,I2,Serie B,2,1617,spal,bari,11,41,schwach,1.6474,B365,12,2:1,sieg,1
D1-1617-2017-05-20-dortmund-werder-bremen,2017-05-20,D1,Bundesliga,1,1617,dortmund,werder bremen,8,33,schwach,1.26,B365,7,4:3,sieg,1
E0-1617-2017-05-21-chelsea-sunderland,2017-05-21,E0,Premier League,1,1617,Chelsea,Sunderland,20,37,schwach,1.1762,B365,3,5:1,sieg,1
SP1-1617-2017-05-21-barcelona-eibar,2017-05-21,SP1,La Liga,1,1617,barcelona,eibar,10,37,schwach,1.1009,B365,7,4:2,sieg,1
I1-1617-2017-05-28-fiorentina-pescara,2017-05-28,I1,Serie A,1,1617,fiorentina,pescara,20,37,schwach,1.2025,B365,14,2:2,unentschieden,0
I1-1617-2017-05-28-roma-genoa,2017-05-28,I1,Serie A,1,1617,roma,genoa,16,37,schwach,1.1018,B365,3,3:2,sieg,1
F1-1718-2017-08-04-monaco-toulouse,2017-08-04,F1,Ligue 1,1,1718,monaco,toulouse,,0,unbekannt,1.3664,B365,6,3:2,sieg,1
E0-1718-2017-08-12-chelsea-burnley,2017-08-12,E0,Premier League,1,1718,Chelsea,Burnley,,0,unbekannt,1.2756,B365,24,2:3,niederlage,0
N1-1718-2017-08-12-psv-eindhoven-az-alkmaar,2017-08-12,N1,Eredivisie,1,1718,psv eindhoven,az alkmaar,,0,unbekannt,1.4947,B365,18,3:2,sieg,1
P1-1718-2017-08-13-sp-braga-portimonense,2017-08-13,P1,Primeira Liga,1,1718,sp braga,portimonense,6,1,stark,1.6375,B365,25,2:1,sieg,1
T1-1718-2017-08-13-trabzonspor-konyaspor,2017-08-13,T1,Süper Lig,1,1718,trabzonspor,konyaspor,,0,unbekannt,1.7584,B365,3,2:1,sieg,1
I1-1718-2017-08-20-sampdoria-benevento,2017-08-20,I1,Serie A,1,1718,sampdoria,benevento,,0,unbekannt,1.749,B365,15,2:1,sieg,1
F1-1718-2017-08-20-lille-caen,2017-08-20,F1,Ligue 1,1,1718,lille,caen,18,2,schwach,1.6877,B365,5,0:2,niederlage,0
F1-1718-2017-08-20-paris-sg-toulouse,2017-08-20,F1,Ligue 1,1,1718,paris sg,toulouse,13,2,schwach,1.1299,B365,18,6:2,sieg,1
D2-1718-2017-08-20-ingolstadt-regensburg,2017-08-20,D2,2. Bundesliga,2,1718,ingolstadt,regensburg,17,2,schwach,1.7808,B365,27,2:4,niederlage,0
F2-1718-2017-08-25-sochaux-chateauroux,2017-08-25,F2,Ligue 2,2,1718,sochaux,chateauroux,9,4,schwach,1.7808,B365,5,1:5,niederlage,0
D1-1718-2017-08-27-rb-leipzig-freiburg,2017-08-27,D1,Bundesliga,1,1718,rb leipzig,freiburg,11,1,schwach,1.432,B365,23,4:1,sieg,1
I1-1718-2017-08-27-napoli-atalanta,2017-08-27,I1,Serie A,1,1718,napoli,atalanta,15,1,schwach,1.4697,B365,15,3:1,sieg,1
SP1-1718-2017-09-09-real-madrid-levante,2017-09-09,SP1,La Liga,1,1718,real madrid,levante,7,2,schwach,1.1009,B365,12,1:1,unentschieden,0
G1-1718-2017-09-09-asteras-tripolis-lamia,2017-09-09,G1,Griechenland Super League,1,1718,asteras tripolis,lamia,11,2,schwach,1.652,B365,6,1:3,niederlage,0
I1-1718-2017-09-10-atalanta-sassuolo,2017-09-10,I1,Serie A,1,1718,atalanta,sassuolo,15,2,schwach,1.626,B365,27,2:1,sieg,1
F1-1718-2017-09-10-marseille-rennes,2017-09-10,F1,Ligue 1,1,1718,marseille,rennes,19,4,schwach,1.7515,B365,2,1:3,niederlage,0
T1-1718-2017-09-10-trabzonspor-genclerbirligi,2017-09-10,T1,Süper Lig,1,1718,trabzonspor,genclerbirligi,18,3,schwach,1.6748,B365,6,3:1,sieg,1
E0-1718-2017-09-16-liverpool-burnley,2017-09-16,E0,Premier League,1,1718,Liverpool,Burnley,7,4,schwach,1.3142,B365,27,1:1,unentschieden,0
E1-1718-2017-09-16-middlesbrough-qpr,2017-09-16,E1,Championship,2,1718,middlesbrough,qpr,10,7,schwach,1.7698,B365,2,3:2,sieg,1
I1-1718-2017-09-17-torino-sampdoria,2017-09-17,I1,Serie A,1,1718,torino,sampdoria,8,2,schwach,1.7515,B365,1,2:2,unentschieden,0
D2-1718-2017-09-19-ingolstadt-duisburg,2017-09-19,D2,2. Bundesliga,2,1718,ingolstadt,duisburg,11,6,schwach,1.72,B365,17,2:2,unentschieden,0
F2-1718-2017-09-19-nancy-bourg-peronnas,2017-09-19,F2,Ligue 2,2,1718,nancy,bourg peronnas,13,7,schwach,1.7257,B365,32,2:1,sieg,1
F2-1718-2017-09-22-nimes-niort,2017-09-22,F2,Ligue 2,2,1718,nimes,niort,16,8,schwach,1.6273,B365,33,1:5,niederlage,0
N1-1718-2017-09-23-feyenoord-nac-breda,2017-09-23,N1,Eredivisie,1,1718,feyenoord,nac breda,15,5,schwach,1.246,B365,33,0:2,niederlage,0
N1-1718-2017-09-23-heracles-roda,2017-09-23,N1,Eredivisie,1,1718,heracles,roda,18,5,schwach,1.729,B365,5,2:1,sieg,1
N1-1718-2017-09-24-ajax-vitesse,2017-09-24,N1,Eredivisie,1,1718,ajax,vitesse,5,5,stark,1.3314,B365,21,1:2,niederlage,0
N1-1718-2017-09-24-az-alkmaar-excelsior,2017-09-24,N1,Eredivisie,1,1718,az alkmaar,excelsior,15,5,schwach,1.39,B365,2,0:2,niederlage,0
I2-1718-2017-09-25-palermo-pro-vercelli,2017-09-25,I2,Serie B,2,1718,palermo,pro vercelli,22,5,schwach,1.5989,B365,20,2:1,sieg,1
E0-1718-2017-10-01-everton-burnley,2017-10-01,E0,Premier League,1,1718,Everton,Burnley,8,6,schwach,1.7543,B365,21,0:1,niederlage,0
I1-1718-2017-10-01-lazio-sassuolo,2017-10-01,I1,Serie A,1,1718,lazio,sassuolo,16,6,schwach,1.4861,B365,27,6:1,sieg,1
I2-1718-2017-10-08-perugia-pro-vercelli,2017-10-08,I2,Serie B,2,1718,perugia,pro vercelli,22,7,schwach,1.6776,B365,5,1:5,niederlage,0
F1-1718-2017-10-14-lille-troyes,2017-10-14,F1,Ligue 1,1,1718,lille,troyes,9,8,schwach,1.6464,B365,3,2:2,unentschieden,0
F1-1718-2017-10-14-st-etienne-metz,2017-10-14,F1,Ligue 1,1,1718,st etienne,metz,20,8,schwach,1.6011,B365,20,3:1,sieg,1
T1-1718-2017-10-14-buyuksehyr-alanyaspor,2017-10-14,T1,Süper Lig,1,1718,buyuksehyr,alanyaspor,8,7,schwach,1.5964,B365,9,2:1,sieg,1
SP2-1718-2017-10-20-osasuna-barcelona-b,2017-10-20,SP2,LaLiga 2,2,1718,osasuna,barcelona b,13,9,schwach,1.7537,B365,23,2:2,unentschieden,0
F1-1718-2017-10-22-nice-strasbourg,2017-10-22,F1,Ligue 1,1,1718,nice,strasbourg,18,9,schwach,1.6542,B365,23,1:2,niederlage,0
SP2-1718-2017-10-22-valladolid-lugo,2017-10-22,SP2,LaLiga 2,2,1718,valladolid,lugo,4,10,stark,1.7111,B365,10,2:2,unentschieden,0
E0-1718-2017-10-28-arsenal-swansea,2017-10-28,E0,Premier League,1,1718,Arsenal,swansea,15,9,schwach,1.2827,B365,22,2:1,sieg,1
D1-1718-2017-10-28-leverkusen-koln,2017-10-28,D1,Bundesliga,1,1718,leverkusen,koln,18,9,schwach,1.4011,B365,23,2:1,sieg,1
F1-1718-2017-10-28-guingamp-amiens,2017-10-28,F1,Ligue 1,1,1718,guingamp,amiens,16,9,schwach,1.751,B365,22,1:1,unentschieden,0
SC0-1718-2017-10-28-aberdeen-ross-county,2017-10-28,SC0,Scottish Premiership,1,1718,aberdeen,ross county,8,11,schwach,1.5971,B365,8,2:1,sieg,1
E1-1718-2017-10-28-fulham-bolton,2017-10-28,E1,Championship,2,1718,Fulham,bolton,24,13,schwach,1.5301,B365,28,1:1,unentschieden,0
I1-1718-2017-10-29-torino-cagliari,2017-10-29,I1,Serie A,1,1718,torino,cagliari,14,10,schwach,1.6743,B365,30,2:1,sieg,1
E1-1718-2017-10-31-sunderland-bolton,2017-10-31,E1,Championship,2,1718,Sunderland,bolton,24,14,schwach,1.7723,B365,32,3:3,unentschieden,0
F2-1718-2017-11-03-ajaccio-chateauroux,2017-11-03,F2,Ligue 2,2,1718,ajaccio,chateauroux,14,13,schwach,1.7131,B365,20,1:2,niederlage,0
D1-1718-2017-11-04-m-gladbach-mainz,2017-11-04,D1,Bundesliga,1,1718,m gladbach,mainz,13,10,schwach,1.6952,B365,19,1:1,unentschieden,0
N1-1718-2017-11-04-az-alkmaar-willem-ii,2017-11-04,N1,Eredivisie,1,1718,az alkmaar,willem ii,16,10,schwach,1.4533,B365,25,3:2,sieg,1
I1-1718-2017-11-05-juventus-benevento,2017-11-05,I1,Serie A,1,1718,juventus,benevento,20,11,schwach,1.1127,B365,19,2:1,sieg,1
