ebene,liga,liga_name,team,markiert,gegnerstaerke,minutenfenster,faelle,treffer,trefferquote,ci_unten,ci_oben,mindestquote,mindestquote_konservativ,belastbar
team,D1,Bundesliga,Union Berlin,nein,stark,alle,7,0,0.0,0.0,35.4,,,nein
team,D1,Bundesliga,Union Berlin,nein,schwach,alle,9,2,22.2,6.3,54.7,5.45,19.15,nein
team,D1,Bundesliga,Paderborn,nein,stark,alle,5,0,0.0,-0.0,43.4,,,nein
team,D1,Bundesliga,Paderborn,nein,schwach,alle,5,0,0.0,-0.0,43.4,,,nein
team,I1,Serie A,Lecce,nein,stark,alle,8,2,25.0,7.1,59.1,4.84,16.94,nein
team,I1,Serie A,Lecce,nein,schwach,alle,13,1,7.7,1.4,33.3,15.74,88.33,ja
team,I1,Serie A,Brescia,nein,stark,alle,2,0,0.0,0.0,65.8,,,nein
team,I1,Serie A,Brescia,nein,schwach,alle,3,0,0.0,0.0,56.2,,,nein
team,F1,Ligue 1,Brest,nein,stark,alle,7,0,0.0,0.0,35.4,,,nein
team,F1,Ligue 1,Brest,nein,schwach,alle,17,3,17.6,6.2,41.0,6.86,19.56,ja
team,E0,Premier League,Leeds,nein,stark,alle,10,0,0.0,-0.0,27.8,,,ja
team,E0,Premier League,Leeds,nein,schwach,alle,12,3,25.0,8.9,53.2,4.84,13.62,ja
team,SP1,La Liga,Cadiz,nein,stark,alle,5,0,0.0,-0.0,43.4,,,nein
team,SP1,La Liga,Cadiz,nein,schwach,alle,15,1,6.7,1.2,29.8,18.16,102.05,ja
team,SP1,La Liga,Elche,nein,stark,alle,9,0,0.0,0.0,29.9,,,nein
team,SP1,La Liga,Elche,nein,schwach,alle,12,2,16.7,4.7,44.8,7.27,25.78,ja
team,D1,Bundesliga,Bielefeld,nein,stark,alle,7,0,0.0,0.0,35.4,,,nein
team,D1,Bundesliga,Bielefeld,nein,schwach,alle,5,0,0.0,-0.0,43.4,,,nein
team,I1,Serie A,Spezia,nein,stark,alle,7,0,0.0,0.0,35.4,,,nein
team,I1,Serie A,Spezia,nein,schwach,alle,12,1,8.3,1.5,35.4,14.53,81.46,ja
team,F1,Ligue 1,Lens,nein,stark,alle,6,1,16.7,3.0,56.4,7.27,40.29,nein
team,F1,Ligue 1,Lens,nein,schwach,alle,8,3,37.5,13.7,69.4,3.23,8.85,nein
team,E0,Premier League,Brentford,nein,stark,alle,3,0,0.0,0.0,56.2,,,nein
team,E0,Premier League,Brentford,nein,schwach,alle,10,3,30.0,10.8,60.3,4.04,11.23,ja
team,D1,Bundesliga,Greuther Furth,nein,stark,alle,2,0,0.0,0.0,65.8,,,nein
team,D1,Bundesliga,Greuther Furth,nein,schwach,alle,2,0,0.0,0.0,65.8,,,nein
team,D1,Bundesliga,Bochum,nein,stark,alle,4,2,50.0,15.0,85.0,2.42,8.07,nein
team,D1,Bundesliga,Bochum,nein,schwach,alle,5,0,0.0,-0.0,43.4,,,nein
team,I1,Serie A,Venezia,nein,stark,alle,4,0,0.0,0.0,49.0,,,nein
team,I1,Serie A,Venezia,nein,schwach,alle,4,0,0.0,0.0,49.0,,,nein
team,I1,Serie A,Salernitana,nein,stark,alle,9,0,0.0,0.0,29.9,,,nein
team,I1,Serie A,Salernitana,nein,schwach,alle,13,1,7.7,1.4,33.3,15.74,88.33,ja
team,F1,Ligue 1,Clermont,nein,stark,alle,6,1,16.7,3.0,56.4,7.27,40.29,nein
team,F1,Ligue 1,Clermont,nein,schwach,alle,14,3,21.4,7.6,47.6,5.65,15.99,ja
team,E0,Premier League,Nott'm Forest,nein,stark,alle,3,0,0.0,0.0,56.2,,,nein
team,E0,Premier League,Nott'm Forest,nein,schwach,alle,5,0,0.0,-0.0,43.4,,,nein
team,SP1,La Liga,Almeria,nein,stark,alle,4,0,0.0,0.0,49.0,,,nein
team,SP1,La Liga,Almeria,nein,schwach,alle,13,3,23.1,8.2,50.3,5.25,14.8,ja
team,I1,Serie A,Cremonese,nein,stark,alle,2,0,0.0,0.0,65.8,,,nein
team,I1,Serie A,Cremonese,nein,schwach,alle,4,0,0.0,0.0,49.0,,,nein
team,I1,Serie A,Monza,nein,stark,alle,5,0,0.0,-0.0,43.4,,,nein
team,I1,Serie A,Monza,nein,schwach,alle,8,1,12.5,2.2,47.1,9.69,54.02,nein
team,F1,Ligue 1,Ajaccio,nein,stark,alle,4,0,0.0,0.0,49.0,,,nein
team,F1,Ligue 1,Ajaccio,nein,schwach,alle,6,2,33.3,9.7,70.0,3.63,12.51,nein
team,F1,Ligue 1,Auxerre,nein,stark,alle,3,0,0.0,0.0,56.2,,,nein
team,F1,Ligue 1,Auxerre,nein,schwach,alle,3,0,0.0,0.0,56.2,,,nein
team,E0,Premier League,Luton,nein,stark,alle,3,0,0.0,0.0,56.2,,,nein
team,E0,Premier League,Luton,nein,schwach,alle,5,0,0.0,-0.0,43.4,,,nein
team,D1,Bundesliga,Heidenheim,nein,stark,alle,0,0,0.0,0.0,0.0,,,nein
team,D1,Bundesliga,Heidenheim,nein,schwach,alle,3,1,33.3,6.1,79.2,3.63,19.69,nein
team,F1,Ligue 1,Le Havre,nein,stark,alle,2,0,0.0,0.0,65.8,,,nein
team,F1,Ligue 1,Le Havre,nein,schwach,alle,0,0,0.0,0.0,0.0,,,nein
